"energy","fep","sep","dep","p511","dfep","dsep","ddep","dp511","FEP","SEP","DEP","P511","nxep","exep","xep","dxep","XEP","xept","dxept","XEPT","a00","a01","a02","a03","a04","a05","a06","a07","a08","a10","a11","a12","a13","a14","a15","a16","a17","a18","a20","a21","a22","a23","a24","a25","a26","a27","a28","a30","a31","a32","a33","a34","a35","a36","a37","a38","a40","a41","a42","a43","a44","a45","a46","a47","a48","a50","a51","a52","a53","a54","a55","a56","a57","a58","b00","b01","b02","b03","b04","b05","b06","b07","b08","b10","b11","b12","b13","b14","b15","b16","b17","b18"
0.05,0.00406673,0,0,0,0.262727,0,0,0,0.987613,0,0,0,8,"0.0388992;0.0389256;0.0390177;0.0390248;0.0401136;0.0401447;0.0403112;0.05","2.80708e-08;0;4.91239e-06;2.10531e-06;2.83796e-05;1.55512e-05;2.80708e-08;0","100;0;7.55929;11.547;3.14503;4.24859;100;0","6.81705e-06;0;0.00119298;0.000511279;0.00689204;0.00377665;6.81705e-06;0",5.10047e-05,2.34597,0.0123866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0788029,0.00961013,0,0,0,0.170908,0,0,0,0.978498,0,0,0,8,"0.0677021;0.0677285;0.0678206;0.0678277;0.0689165;0.0689476;0.0691141;0.0788029","5.61416e-08;0;3.28429e-06;1.90882e-06;2.08285e-05;1.09195e-05;0;0","70.7107;0;9.245;12.1268;3.67112;5.0702;0;0","5.71631e-06;0;0.000334404;0.000194355;0.00212075;0.00111182;0;0",3.69973e-05,2.7545,0.00376705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619901,-2.32477,3.03,1.61513,0,0,0,0,0,0.147006,-2.79772,29.4117,-184.62,674.967,-1432.78,1733.5,-1106.44,288.942,1.23051,-4.88862,13.6551,-3.77932,0,0,0,0,0,0.0758562,-2.78852,48.3453,-341.539,1212.93,-2382.47,2633.11,-1536.24,368.862,1.23734,-5.01743,13.8213,-3.81844,0,0,0,0,0
0.124198,0.0108762,0,0,0,0.160653,0,0,0,0.930669,0,0,0,8,"0.113097;0.113124;0.113216;0.113223;0.114312;0.114343;0.114509;0.124198","2.80708e-08;1.12283e-07;1.8246e-06;9.54408e-07;8.89845e-06;5.24924e-06;8.42125e-08;0","100;50;12.4035;17.1499;5.61656;7.31272;57.735;0","2.40199e-06;9.60797e-06;0.00015613;8.16678e-05;0.000761432;0.000449173;7.20598e-06;0",1.71513e-05,4.04557,0.00146762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975806,13.0688,-189.817,1280.19,-4641.76,9493.35,-11010.6,6799.11,-1741.22,0.479328,-6.37223,66.6434,-413.945,1432.43,-2844.2,3237.92,-1965.29,492.626,0.789942,-0.869314,39.9678,-382.032,1519.37,-2962.94,3065.86,-1631.43,353.782,0.0625835,1.24491,-24.4922,215.044,-903.234,1994.28,-2399.22,1493.78,-377.295,0.774546,-0.72774,30.5269,-286.871,1091.94,-1973.11,1836.6,-852.251,155.612
0.195743,0.00864957,0,0,0,0.180148,0,0,0,0.774216,0,0,0,8,"0.184643;0.184669;0.184761;0.184768;0.185857;0.185888;0.186055;0.195743","2.80708e-08;2.80708e-08;8.14054e-07;3.3685e-07;3.92992e-06;2.24567e-06;2.80708e-08;0","100;100;18.5695;28.8675;8.45154;11.1803;100;0","2.51259e-06;2.51259e-06;7.28652e-05;3.01511e-05;0.000351763;0.000201008;2.51259e-06;0",7.4107e-06,6.15457,0.000663325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49569,0.512749,13.4468,-182.508,789.227,-1749.39,2094.74,-1260.02,296.268,0.958527,0.253738,-9.25929,25.7678,-29.1683,11.839,0,0,0,1.06754,-3.38973,30.3817,-275.347,1253.27,-2849.44,3419.18,-2086.14,511.351,0.205,-1.26749,19.3453,-132.8,479.363,-975.585,1120.56,-677.158,167.575,0.90552,-2.75143,23.1548,-233.984,1157.55,-2803.48,3553.53,-2277.93,583.939
0.308503,0.00556512,0,0,0,0.22459,0,0,0,0.549392,0,0,0,8,"0.297402;0.297429;0.297521;0.297528;0.298617;0.298648;0.298814;0.308503","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41927,3.07859,-55.4862,400.919,-1428.99,2726.8,-2843.25,1521.15,-323.575,3.54072,1.44846,-9.95098,49.4526,-107.877,113.833,-46.1052,0,0,1.89196,-9.90557,53.1544,-235.087,606.726,-823.243,539.454,-122.214,-10.5248,0.232646,0.154395,-9.8981,85.3667,-309.406,567.736,-551.805,269.06,-51.1473,0.822624,-1.82605,-33.1707,285.131,-960.719,1712.72,-1704.18,894.965,-193.487
0.486219,0.00346136,0,0,0,0.284777,0,0,0,0.374346,0,0,0,8,"0.475118;0.475144;0.475237;0.475244;0.476332;0.476364;0.47653;0.486219","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82351,-4.48042,56.2856,-346.617,1193.64,-2402.26,2792.35,-1730.17,441.268,2.11222,-0.768318,-20.5085,230.736,-1060.43,2535.2,-3276.94,2180.46,-586.281,1.63293,-7.72597,59.0184,-361.612,1153.72,-1999.31,1930.1,-981.662,205.916,0.197229,0.503214,-6.54456,16.9446,52.6632,-335.053,630.159,-517.109,158.548,0.665271,-5.69621,24.5997,-24.5299,-134.606,482.709,-663.702,428.143,-107.525
0.766309,0.00224583,0,0,0,0.35354,0,0,0,0.268412,0,0,0,8,"0.755209;0.755235;0.755327;0.755334;0.756423;0.756454;0.756621;0.766309","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09414,-1.20608,17.0479,-134.393,567.758,-1306.65,1644.92,-1064.22,276.798,1.39794,-4.77286,35.5172,-140.84,298.396,-295.997,42.9507,138.048,-71.9599,1.30961,-2.93327,5.6021,-11.1494,-74.8203,368.353,-606.327,439.603,-119.626,0.167651,-1.14581,20.5206,-158.68,618.731,-1318.44,1559.63,-961.826,241.256,0.468873,-5.61294,39.9778,-163.196,403.44,-618.718,574.91,-295.752,64.4998
1.20775,0.00151585,0,0,1.40354e-07,0.430327,0,0,44.7214,0.205047,0,0,1.89855e-05,8,"1.19665;1.19667;1.19677;1.19677;1.19786;1.19789;1.19806;1.20775","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.553851,2.82445,-25.4969,97.8505,-170.119,90.5635,105.174,-157.836,57.1683,0.718335,-0.99104,4.6749,-10.4442,11.1619,-4.50655,0,0,0,0.904727,-2.61246,8.75114,4.49785,-120.48,367.693,-516.961,354.361,-95.5183,0.700893,-2.96144,39.391,-233.517,739.008,-1325.19,1341.96,-710.863,152.162,0.719769,-0.388912,14.63,-104.816,353.529,-622.684,587.822,-273.202,46.5179,1.03291,-1.49569,-7.73777,98.5124,-485.066,1144.89,-1393.74,849.484,-205.874,0.114246,0.568846,-7.75413,37.5838,-82.5682,79.983,-12.7632,-29.7422,14.7117,0.337078,-5.4059,47.2018,-226.815,634.259,-1060.04,1042.33,-555.744,123.887
1.90348,0.00103671,4.43519e-05,4.90959e-05,6.09137e-06,0.520354,2.51577,2.39114,6.78844,0.159882,0.00683997,0.00757159,0.000939414,8,"1.89238;1.89241;1.8925;1.89251;1.8936;1.89363;1.89379;1.90348","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.374055,0.0315518,2.51883,-22.9126,96.5139,-221.284,278.992,-180.935,47.1323,0.578683,-3.51572,28.5467,-142.072,431.07,-792.69,858.828,-502.803,122.406,0.337061,2.31925,-36.9915,262.249,-960.74,1964.38,-2262.97,1373.25,-341.384,0.514792,-0.800603,7.53041,-45.0878,157.158,-302.229,316.992,-169.923,36.4295,0.572937,1.46725,-17.0324,112.358,-397.885,819.699,-976.713,626.153,-167.166,0.821898,0.319315,-24.6344,185.045,-700.568,1409.25,-1533.12,854.37,-191.481,0.106043,-0.092822,1.1923,-15.6523,97.4693,-288.39,432.196,-318.5,91.8048,0.230576,-4.15876,36.5698,-173.11,474.801,-778.68,753.12,-396.121,87.3543
3,0.000717799,0.000159498,0.000165646,2.18391e-05,0.625354,1.32663,1.30178,3.58517,0.123251,0.027387,0.0284425,0.00374992,8,"2.9889;2.98893;2.98902;2.98902;2.99011;2.99014;2.99031;3","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.229926,0.79828,-5.8186,-1.73881,127.061,-450.166,689.357,-499.181,139.712,0.355517,-3.29723,26.0757,-116.873,317.321,-529.394,528.784,-289.074,66.3333,0.351585,-0.616514,20.5865,-182.534,753.836,-1661.43,2017.65,-1274.73,327.492,0.451734,-0.622001,4.47158,-9.18254,-31.4867,175.032,-306.358,237.519,-69.373,0.500205,1.07459,-19.8293,173.21,-734.368,1679.15,-2105.09,1362.47,-355.929,0.622868,1.06361,-29.6449,214.648,-786.222,1542.68,-1652.52,914.072,-204.692,0.0872777,0.0926572,3.20253,-49.8125,257.511,-641.386,837.937,-553.194,145.673,0.182614,-3.98216,38.1376,-192.861,562.461,-977.245,997.398,-551.412,127.334
