"energy","fep","sep","dep","p511","dfep","dsep","ddep","dp511","FEP","SEP","DEP","P511","nxep","exep","xep","dxep","XEP","xept","dxept","XEPT","a00","a01","a02","a03","a04","a05","a06","a07","a08","a10","a11","a12","a13","a14","a15","a16","a17","a18","a20","a21","a22","a23","a24","a25","a26","a27","a28","a30","a31","a32","a33","a34","a35","a36","a37","a38","a40","a41","a42","a43","a44","a45","a46","a47","a48","a50","a51","a52","a53","a54","a55","a56","a57","a58","b00","b01","b02","b03","b04","b05","b06","b07","b08","b10","b11","b12","b13","b14","b15","b16","b17","b18"
0.05,0.00406477,0,0,0,0.262791,0,0,0,0.987426,0,0,0,8,"0.0388992;0.0389256;0.0390177;0.0390248;0.0401136;0.0401447;0.0403112;0.05","5.61416e-08;0;4.77204e-06;2.13338e-06;2.84638e-05;1.62811e-05;5.61416e-08;0","70.7107;0;7.66965;11.4708;3.14037;4.15227;70.7107;0","1.36381e-05;0;0.00115924;0.000518248;0.00691452;0.00395505;1.36381e-05;0",5.17626e-05,2.32873,0.0125743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0788029,0.00962975,0,0,0,0.170734,0,0,0,0.978561,0,0,0,8,"0.0677021;0.0677285;0.0678206;0.0678277;0.0689165;0.0689476;0.0691141;0.0788029","1.12283e-07;0;3.20007e-06;2.07724e-06;2.31304e-05;9.4318e-06;0;0","50;0;9.36586;11.6248;3.48367;5.45545;0;0","1.14101e-05;0;0.000325187;0.000211086;0.00235047;0.000958445;0;0",3.79518e-05,2.71964,0.0038566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449745,-1.05533,0.52443,3.02923,0,0,0,0,0,0.144104,-3.21972,38.1668,-258.451,996.929,-2196.55,2725.41,-1768.79,466.691,1.17012,-5.07979,15.527,-5.51816,0,0,0,0,0,0.0604184,-1.63136,22.0532,-110.958,256.403,-306.814,200.583,-74.7466,15.3054,1.17888,-5.26357,15.7562,-5.5689,0,0,0,0,0
0.124198,0.0109003,0,0,0,0.160475,0,0,0,0.932094,0,0,0,8,"0.113097;0.113124;0.113216;0.113223;0.114312;0.114343;0.114509;0.124198","1.12283e-07;5.61416e-08;1.17897e-06;8.98266e-07;1.00494e-05;5.22117e-06;0;0","50;70.7107;15.4303;17.6777;5.28516;7.33236;0;0","9.60144e-06;4.80072e-06;0.000100815;7.68116e-05;0.000859329;0.000446467;0;0",1.75162e-05,4.0032,0.00149783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592911,28.9366,-387.948,2406.66,-8135.65,15810.6,-17659.9,10571.2,-2631.31,0.342706,-2.53148,24.797,-183.928,727.641,-1593.06,1962.89,-1274.76,338.934,0.770748,0.44289,55.6155,-715.741,3399.33,-7865.64,9650.17,-6049.89,1527.61,0.0798599,0.704918,-21.7177,207.336,-871.666,1885.06,-2205.02,1331.05,-325.617,0.706975,1.71883,37.6119,-593.339,2941.76,-6913.72,8556.72,-5400.99,1372.21
0.195743,0.00867832,0,0,0,0.17985,0,0,0,0.775921,0,0,0,8,"0.184643;0.184669;0.184761;0.184768;0.185857;0.185888;0.186055;0.195743","0;5.61416e-08;8.98266e-07;3.3685e-07;3.48078e-06;2.30181e-06;0;0","0;70.7107;17.6777;28.8675;8.98027;11.0432;0;0","0;5.01958e-06;8.03132e-05;3.01175e-05;0.000311214;0.000205803;0;0",7.07385e-06,6.29941,0.000632467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45291,1.22194,-24.0172,239.876,-1191.29,2964.98,-3917.28,2656.76,-727.987,1.01957,-1.57912,4.08647,-9.498,9.30229,-2.88092,0,0,0,0.975266,1.50571,-51.1813,329.152,-1053.25,2012.73,-2301.5,1431.17,-368.7,0.178148,-0.0297784,0.321381,-9.39028,73.1354,-235.463,362.703,-268.39,77.2176,0.869846,0.593518,-37.129,221.699,-604.197,962.481,-942.162,525.364,-126.603
0.308503,0.00558042,0,0,0,0.224282,0,0,0,0.549257,0,0,0,8,"0.297402;0.297429;0.297521;0.297528;0.298617;0.298648;0.298814;0.308503","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59169,-2.54095,15.1597,-58.049,180.688,-424.766,591.966,-421.583,119.598,3.25379,10.3003,-94.1363,386.186,-747.683,684.88,-238.402,0,0,1.86971,-11.0998,87.2638,-511.531,1662.32,-2994.79,3006.26,-1576.74,336.667,0.229399,0.839646,-17.2859,108.077,-324.16,513.816,-427.894,166.866,-20.1391,0.851855,-4.18146,-2.34548,120.744,-518.191,1074.19,-1229.53,746.564,-187.889
0.486219,0.00345855,0,0,0,0.284892,0,0,0,0.374488,0,0,0,8,"0.475118;0.475144;0.475237;0.475244;0.476332;0.476364;0.47653;0.486219","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78361,-2.97877,23.7911,-71.7667,85.9634,-16.2676,-39.3959,19.2231,1.43699,2.1999,-0.192826,-54.3935,502.867,-2018.17,4316.59,-5095.41,3138.99,-788.758,1.56051,-6.44409,56.1319,-402.626,1420.25,-2671.69,2782.42,-1521.67,342.148,0.19215,0.178955,-6.27395,39.2065,-76.5895,-18.2951,229.774,-259.449,91.5178,0.693685,-7.16777,44.3802,-147.549,276.699,-304.386,200.018,-77.4769,14.8624
0.766309,0.00224348,0,0,0,0.353726,0,0,0,0.268065,0,0,0,8,"0.755209;0.755235;0.755327;0.755334;0.756423;0.756454;0.756621;0.766309","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08169,0.567618,-21.2992,168.563,-607.556,1175.59,-1262.36,708.715,-162.193,1.42891,-4.74154,22.232,-19.7988,-189.928,775.398,-1276.11,992.247,-297.995,1.25629,-3.93067,18.1765,-55.4102,-21.6568,398.146,-742.494,563.713,-157.79,0.187792,-1.01284,12.7927,-96.6891,404.525,-937.725,1199.76,-792.601,210.965,0.500586,-7.40744,64.8645,-319.751,925.572,-1603.08,1628.18,-892.192,203.335
1.20775,0.00149909,0,0,3.3685e-07,0.432726,0,0,28.8675,0.204341,0,0,4.59158e-05,8,"1.19665;1.19667;1.19677;1.19677;1.19786;1.19789;1.19806;1.20775","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.628052,2.78796,-43.0735,253.619,-753.715,1236.61,-1127.19,529.18,-98.1531,0.617648,0.448311,-1.78081,2.58933,-1.39226,0.21034,0,0,0,0.949192,-6.34656,70.2956,-417.302,1372.9,-2610.32,2861.1,-1678.63,408.043,0.660875,-1.05382,5.61721,15.3671,-202.185,654.355,-988.782,722.329,-205.605,0.750691,-1.14349,11.5014,-13.619,-120.46,498.27,-791.494,586.942,-168.654,1.05492,-2.00134,-3.5438,87.4045,-498.682,1261.35,-1606.93,1014.73,-253.377,0.125043,-0.260813,2.54194,-22.101,116.373,-321.011,464.871,-336.441,96.068,0.331552,-5.34904,44.8947,-203.019,529.159,-822.084,752.56,-374.988,78.5072
1.90348,0.00103778,4.68783e-05,4.68221e-05,6.84928e-06,0.520086,2.44704,2.44851,6.40184,0.159986,0.00722687,0.00721822,0.0010559,8,"1.89238;1.89241;1.8925;1.89251;1.8936;1.89363;1.89379;1.90348","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.453738,-1.46655,5.50711,27.9332,-230.605,611.328,-788.837,503.143,-127.04,0.608088,-4.63284,36.9233,-164.472,437.744,-711.662,690.002,-364.645,80.4738,0.379453,0.128579,0.254922,-14.7436,87.113,-216.653,270.251,-167.291,41.0522,0.549825,-3.99391,51.2926,-307.162,1027.52,-2011.37,2277.42,-1376.74,343.091,0.577201,0.691129,-10.9907,115.056,-572.512,1509.81,-2142.42,1545.62,-444.426,0.789745,0.583337,-26.2022,198.814,-772.282,1594.98,-1782.99,1023.13,-236.818,0.0991713,-0.234665,2.96404,-18.8022,64.8004,-129.679,152.4,-97.8524,26.4503,0.221156,-4.05074,35.8319,-172.045,482.389,-811.629,806.003,-435.014,98.3055
3,0.000706823,0.000160509,0.000165899,2.05478e-05,0.630191,1.32245,1.30079,3.69611,0.121913,0.0276847,0.0286143,0.00354411,8,"2.9889;2.98893;2.98902;2.98902;2.99011;2.99014;2.99031;3","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.196558,1.14064,-13.2812,89.5124,-352.615,796.064,-1006.88,661.803,-175.703,0.341662,-2.91376,20.1999,-79.3783,193.215,-295.746,276.697,-144.404,32.2303,0.369469,0.211239,-7.38071,60.7495,-233.453,495.19,-589.348,366.488,-92.2839,0.49857,-2.47514,39.4824,-275.595,962.495,-1837.38,1951.6,-1082.88,244.691,0.51861,0.844647,-19.6343,187.116,-829.618,1953.39,-2502.38,1646.37,-435.415,0.6802,-0.642676,-7.76225,87.747,-410.447,930.114,-1096.81,652.212,-155.085,0.0714069,0.556666,-7.12308,40.9969,-125.237,220.148,-225.192,125.209,-29.343,0.170615,-3.68249,35.7877,-183.501,542.274,-953.424,982.962,-547.876,127.304
