"energy","fep","sep","dep","p511","dfep","dsep","ddep","dp511","FEP","SEP","DEP","P511","nxep","exep","xep","dxep","XEP","xept","dxept","XEPT","a00","a01","a02","a03","a04","a05","a06","a07","a08","a10","a11","a12","a13","a14","a15","a16","a17","a18","a20","a21","a22","a23","a24","a25","a26","a27","a28","a30","a31","a32","a33","a34","a35","a36","a37","a38","a40","a41","a42","a43","a44","a45","a46","a47","a48","a50","a51","a52","a53","a54","a55","a56","a57","a58","b00","b01","b02","b03","b04","b05","b06","b07","b08","b10","b11","b12","b13","b14","b15","b16","b17","b18"
0.05,0.00554979,0,0,0,0.182666,0,0,0,0.83282,0,0,0,8,"0.0168802;0.0169533;0.0174559;0.0177052;0.0177611;0.0213877;0.0216827;0.0220187","6.64796e-06;3.64434e-05;1.16663e-06;0.000121385;6.23871e-05;0.000581446;0.000304565;1.8518e-08","5.2778;2.25417;12.5988;1.23513;1.72286;0.564342;0.779752;100","0.000997616;0.00546882;0.000175069;0.0182155;0.00936203;0.0872539;0.0457041;2.77887e-06",0.00111406,0.407702,0.16718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0788029,0.00676083,0,0,0,0.1655,0,0,0,0.915845,0,0,0,8,"0.0456831;0.0457562;0.0462589;0.0465081;0.046564;0.0501906;0.0504856;0.0508216","3.81471e-06;2.06661e-05;9.62935e-07;6.56648e-05;3.37213e-05;0.000289381;0.000150996;0","6.96733;2.99342;13.8675;1.67931;2.34339;0.799949;1.10743;0","0.000516753;0.0027995;0.000130443;0.00889518;0.004568;0.0392005;0.0204544;0",0.000565206,0.572392,0.0765647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757861,-0.180171,0.0728934,0.823643,0,0,0,0,0,-0.0159776,3.81511,-55.9613,430.146,-1732.64,3975.94,-5078.86,3311.39,-852.368,3.91488,-16.0955,42.4406,-19.3667,0,0,0,0,0,0.00370928,0.594919,-9.07411,74.9615,-286.562,473.685,-151.991,-319.5,219.438,4.02223,-17.6497,47.4317,-23.8609,0,0,0,0,0
0.124198,0.00699554,0,0,0,0.1627,0,0,0,0.951272,0,0,0,8,"0.0910782;0.0911513;0.091654;0.0919032;0.0919591;0.0955857;0.0958807;0.0962167","1.59255e-06;8.24051e-06;2.7777e-07;2.94436e-05;1.50181e-05;0.000115941;6.09612e-05;1.8518e-08","10.7833;4.74045;25.8199;2.50785;3.51147;1.2638;1.74289;100","0.000216559;0.00112057;3.77719e-05;0.00400382;0.0020422;0.015766;0.00828966;2.51812e-06",0.000231493,0.894391,0.0314791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221125,1.88856,-30.6827,243.075,-1011.17,2296.57,-2886.82,1898.54,-510.735,0.0168795,2.56795,-28.6295,102.58,8.25256,-777.394,1737.5,-1539.83,495.884,1.78336,0.296379,46.2432,-648.137,2891.12,-5914.95,6186.14,-3198.96,640.728,0.0230435,0.0726016,1.38656,-26.3746,175.622,-537.432,820.844,-605.445,172.09,1.90145,-6.58629,159.976,-1494.68,6162.18,-12961,14713.1,-8611.49,2040.64
0.195743,0.00630471,0,0,0,0.171382,0,0,0,0.919939,0,0,0,8,"0.162624;0.162697;0.163199;0.163449;0.163504;0.167131;0.167426;0.167762","5.92576e-07;3.99989e-06;1.48144e-07;1.24256e-05;7.12943e-06;5.22207e-05;2.674e-05;3.7036e-08","17.6777;6.80414;35.3553;3.86046;5.09647;1.88311;2.63158;70.7107","8.64645e-05;0.000583636;2.16161e-05;0.00181305;0.00104028;0.00761969;0.00390171;5.40403e-06",0.000103293,1.33894,0.0150718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74979,-1.23142,48.3217,-423.131,1683.81,-3630.89,4359.71,-2730.55,694.951,0.363806,-0.0796116,0.360535,-1.24174,1.08925,0.00174754,0,0,0,1.27725,-3.21968,69.3407,-733.092,3340.24,-7593.58,9182.97,-5674.17,1412.04,0.0888363,-1.56562,32.6206,-274.48,1165.8,-2713.07,3496.12,-2332.68,627.667,1.2561,-3.47718,72.002,-755.722,3445.27,-7853.67,9521.87,-5890.69,1464.81
0.308503,0.00441224,0,0,0,0.204865,0,0,0,0.769982,0,0,0,8,"0.275383;0.275456;0.275959;0.276208;0.276264;0.279891;0.280186;0.280522","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72126,-2.25003,32.1236,-199.665,603.423,-1018.03,987.762,-519.519,115.997,2.45834,0.363857,-9.21873,44.6209,-100.217,106.426,-42.3965,0,0,1.04779,-7.56609,66.3934,-288.411,690.806,-926.517,668.225,-226.315,22.9435,0.205379,-1.41047,16.5971,-106.527,392.036,-863.053,1115.65,-770.242,217.25,1.26795,-1.43183,-55.7733,420.792,-1320.83,2229.84,-2122.61,1075.49,-226.19
0.486219,0.00255767,0,0,0,0.269076,0,0,0,0.541136,0,0,0,8,"0.453099;0.453172;0.453675;0.453924;0.45398;0.457607;0.457902;0.458238","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70158,-0.763569,10.1891,-114.559,625.902,-1729.12,2506.57,-1820.56,522.519,2.56703,-1.99208,-46.1221,422.112,-1701.14,3698.56,-4442.29,2773.28,-703.111,0.753918,-5.94573,68.5046,-444.465,1537.05,-2964.12,3211.95,-1832.61,429.056,0.200889,0.2674,-1.67794,-17.5072,167.13,-547.611,868.127,-668.653,200.244,1.27303,-8.14279,2.12826,219.396,-1053.63,2265.99,-2569.41,1494.65,-352.137
0.766309,0.00146546,0,0,0,0.355476,0,0,0,0.367744,0,0,0,8,"0.73319;0.733263;0.733765;0.734015;0.734071;0.737697;0.737992;0.738328","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12698,1.94149,-23.6735,98.0548,-121.648,-186.474,660.827,-639.216,210.414,2.12013,-14.0017,116.28,-587.237,1776.77,-3196.13,3328.79,-1844.22,419.233,0.561052,-3.43049,34.0462,-237.626,880.861,-1796.52,2044.56,-1220.9,298.541,0.174491,0.245431,-3.64404,7.4831,44.5492,-225.041,398.393,-317.566,95.7983,1.08091,-15.1952,117.266,-506.988,1305.29,-2049.25,1922.85,-990.036,215.035
1.20775,0.000887345,0,0,5.5554e-08,0.456826,0,0,57.735,0.262062,0,0,1.64069e-05,8,"1.17463;1.1747;1.1752;1.17545;1.17551;1.17914;1.17943;1.17977","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.750613,-0.318141,9.96721,-104.565,470.922,-1086.31,1354.39,-869.657,225.675,0.651256,2.84845,-15.9375,38.1479,-40.1754,15.3171,0,0,0,1.49196,-8.36198,57.296,-280.833,890.711,-1715.57,1922.52,-1150.49,283.997,0.731217,-1.62471,23.6501,-121.757,286.854,-317.582,118.459,47.7982,-35.8214,0.718585,2.35751,-29.2921,194.981,-700.082,1426.68,-1648.36,1009.39,-255.165,0.480738,-3.00496,29.3692,-191.351,658.033,-1256.17,1349.66,-765.546,178.565,0.19544,-1.85129,23.5111,-148.477,512.248,-1005.34,1122.22,-663.133,160.892,0.771186,-13.0053,108.341,-487.726,1276.22,-2001.87,1855.59,-937.132,198.825
1.90348,0.000555243,4.26099e-05,5.62206e-05,3.35176e-06,0.577504,2.08469,1.81489,7.43294,0.188722,0.0144827,0.0191089,0.00113923,8,"1.87036;1.87044;1.87094;1.87119;1.87124;1.87487;1.87517;1.8755","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.445781,0.199327,-4.86925,24.667,-32.661,-56.9869,205.583,-206.853,71.0773,0.950804,-8.5931,62.0187,-256.739,653.678,-1043.84,1017.62,-551.899,127.186,0.375824,1.0701,-5.29125,-6.7678,123.856,-384.279,544.678,-373.612,100.458,0.483143,-0.177286,0.254505,11.7013,-66.4401,150.702,-161.762,77.4857,-11.6108,0.510208,4.29703,-59.0826,390.725,-1362.89,2700.35,-3057.56,1845.03,-460.478,0.426803,-2.28458,14.2571,-77.2271,252.348,-483.83,538.002,-321.213,79.5402,0.130087,0.400416,-7.37767,35.6971,-65.1739,18.3125,91.578,-115.094,41.7834,0.477575,-8.92798,78.9339,-376.647,1043.69,-1729.2,1687.69,-894.528,198.53
3,0.000369064,0.0001297,0.00016918,1.24811e-05,0.708347,1.19489,1.04622,3.85186,0.136995,0.0481441,0.062799,0.00463294,8,"2.96688;2.96695;2.96746;2.96771;2.96776;2.97139;2.97168;2.97202","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.265749,-0.313179,6.58366,-55.5338,208.882,-400.173,409.971,-214.23,44.8782,0.554645,-8.54644,83.7033,-437.134,1314.61,-2343.83,2441.61,-1370.64,319.918,0.442486,-2.02105,33.9235,-250.23,944.968,-1965.05,2278.45,-1380.87,340.814,0.395843,0.322652,-8.19465,47.3907,-102.91,45.8243,142.255,-202.039,77.4409,0.523162,-0.7231,8.25702,-40.3686,109.672,-159.502,117.879,-35.3516,0.323477,0.26327,0.301645,-4.94435,1.29471,55.771,-170.768,227.726,-147.414,37.7855,0.10483,0.540584,-8.28614,39.176,-84.417,91.9019,-47.116,6.80592,1.4558,0.288945,-6.02317,56.3888,-283.288,828.135,-1449.15,1493.45,-834.845,195.077
