"energy","fep","sep","dep","p511","dfep","dsep","ddep","dp511","FEP","SEP","DEP","P511","nxep","exep","xep","dxep","XEP","xept","dxept","XEPT","a00","a01","a02","a03","a04","a05","a06","a07","a08","a10","a11","a12","a13","a14","a15","a16","a17","a18","a20","a21","a22","a23","a24","a25","a26","a27","a28","a30","a31","a32","a33","a34","a35","a36","a37","a38","a40","a41","a42","a43","a44","a45","a46","a47","a48","a50","a51","a52","a53","a54","a55","a56","a57","a58","b00","b01","b02","b03","b04","b05","b06","b07","b08","b10","b11","b12","b13","b14","b15","b16","b17","b18"
0.05,0.00553918,0,0,0,0.182841,0,0,0,0.832176,0,0,0,8,"0.0168802;0.0169533;0.0174559;0.0177052;0.0177611;0.0213877;0.0216827;0.0220187","6.14797e-06;3.54064e-05;1.3333e-06;0.0001217;6.18501e-05;0.000593094;0.000297547;0","5.48821;2.28695;11.7851;1.23353;1.73032;0.558773;0.788895;0","0.000923638;0.00531927;0.000200307;0.0182836;0.00929203;0.0891033;0.0447019;0",0.00111708,0.40715,0.167824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0788029,0.00674707,0,0,0,0.165668,0,0,0,0.914979,0,0,0,8,"0.0456831;0.0457562;0.0462589;0.0465081;0.046564;0.0501906;0.0504856;0.0508216","3.11102e-06;1.93328e-05;5.92576e-07;6.81462e-05;3.48879e-05;0.000291103;0.000151477;0","7.71517;3.09492;17.6777;1.64845;2.30388;0.797579;1.10566;0","0.00042189;0.00262175;8.036e-05;0.0092414;0.0047312;0.0394769;0.020542;0",0.00056865,0.570656,0.0771155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156159,-0.504379,0.396563,0.863944,0,0,0,0,0,0.0269564,0.639901,0.783208,-5.71544,-16.124,255.965,-596.166,496.447,-134.387,3.90048,-15.6461,40.9425,-18.3284,0,0,0,0,0,0.0275579,0.226115,-11.2168,129.174,-592.199,1267.4,-1214.96,393.325,29.7118,4.04699,-17.5754,46.8259,-23.374,0,0,0,0,0
0.124198,0.00699632,0,0,0,0.16269,0,0,0,0.952493,0,0,0,8,"0.0910782;0.0911513;0.091654;0.0919032;0.0919591;0.0955857;0.0958807;0.0962167","1.48144e-06;8.81456e-06;2.96288e-07;3.06658e-05;1.37033e-05;0.000116219;5.74798e-05;0","11.1803;4.58349;25;2.45737;3.67607;1.26229;1.7949;0","0.000201686;0.00120003;4.03372e-05;0.0041749;0.0018656;0.0158223;0.00782542;0",0.00022866,0.899915,0.0311302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231091,-0.943589,5.81349,31.0624,-334.768,1044.76,-1548.08,1129.87,-327.015,0.0514324,2.17688,-35.8338,229.407,-698.988,1081.9,-779.063,155.51,45.8769,2.29581,-26.2094,460.351,-3578.24,13720.2,-28232,32000.9,-18856.4,4513.41,0.040589,-0.904968,17.0298,-142.101,630.623,-1541.5,2065.43,-1413.77,385.996,2.42475,-33.194,575.894,-4445.39,17109.9,-35629.4,41072.3,-24687.9,6039.51
0.195743,0.00630997,0,0,0,0.17131,0,0,0,0.922406,0,0,0,8,"0.162624;0.162697;0.163199;0.163449;0.163504;0.167131;0.167426;0.167762","5.92576e-07;3.11102e-06;2.22216e-07;1.22219e-05;6.0739e-06;5.08134e-05;2.82214e-05;0","17.6777;7.71517;28.8675;3.89249;5.52158;1.90901;2.56158;0","8.66241e-05;0.000454777;3.24841e-05;0.00178662;0.000887898;0.00742802;0.00412548;0",0.000101256,1.35234,0.0148019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508295,8.64377,-87.6696,429.946,-1170.5,1812.46,-1579.88,723.625,-135.622,0.48198,-2.19658,9.78006,-18.0841,13.5386,-3.01475,0,0,0,1.12927,4.65253,-48.438,68.0935,453.258,-1719.78,2404.83,-1538.09,376.089,0.109326,-2.44252,43.797,-329.857,1272.58,-2748.66,3361.45,-2168.38,571.868,1.08712,6.4971,-83.7919,309.519,-368.563,-157.291,702.984,-538.036,129.109
0.308503,0.00439269,0,0,0,0.20532,0,0,0,0.77084,0,0,0,8,"0.275383;0.275456;0.275959;0.276208;0.276264;0.279891;0.280186;0.280522","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59188,1.1826,-22.9202,207.87,-875.222,1832.38,-1998.21,1083.26,-228.307,1.94637,12.1365,-99.8666,370.443,-685.832,613.632,-210.626,0,0,0.929439,-4.78392,43.3849,-195.864,492.864,-723.631,627.972,-307.866,67.6994,0.162642,-0.544766,6.24409,-48.6196,224.106,-586,845.998,-623.32,182.504,1.27785,-0.992388,-66.8613,490.872,-1511.07,2464.61,-2216.84,1032.28,-192.639
0.486219,0.00255926,0,0,0,0.268992,0,0,0,0.543075,0,0,0,8,"0.453099;0.453172;0.453675;0.453924;0.45398;0.457607;0.457902;0.458238","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61002,0.571168,-17.0643,164.05,-692.987,1494.76,-1719.39,1001.85,-231.561,2.59883,-5.42054,39.8366,-320.171,1304.38,-2759.03,3141.95,-1826.67,424.368,0.82353,-5.40786,37.8395,-179.263,532.157,-970.32,1052.1,-620.882,153.12,0.144609,2.25687,-32.6627,187.76,-535.675,815.849,-652.434,241.216,-26.0027,1.31947,-8.78755,3.12432,231.152,-1122.18,2439.57,-2806.48,1662.27,-399.871
0.766309,0.00146707,0,0,0,0.355281,0,0,0,0.365647,0,0,0,8,"0.73319;0.733263;0.733765;0.734015;0.734071;0.737697;0.737992;0.738328","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01481,5.0573,-71.7166,472.259,-1650.53,3260.37,-3657.2,2175.77,-533.819,1.9319,-8.01774,46.2274,-194.968,576.964,-1097.46,1244.99,-756.356,188.319,0.542128,-1.93634,3.84601,-12.5869,61.7948,-173.408,251.292,-180.948,51.4836,0.116019,1.90564,-26.3384,151.44,-425.014,608.604,-408.895,78.5967,19.922,1.00207,-12.8888,88.5122,-344.958,816.725,-1203.43,1077.97,-536.37,113.476
1.20775,0.000883086,0,0,7.4072e-08,0.457926,0,0,50,0.259569,0,0,2.17723e-05,8,"1.17463;1.1747;1.1752;1.17545;1.17551;1.17914;1.17943;1.17977","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.728344,3.03427,-54.2655,384.151,-1375.84,2705.36,-2957.75,1686.68,-391.293,0.858391,-2.36384,21.7769,-63.9128,73.6899,-29.1017,0,0,0,1.67974,-14.3296,115.01,-565.122,1713.13,-3156.38,3411.08,-1978.61,474.221,0.712973,0.362037,-11.5526,71.7063,-184.222,214.879,-83.9603,-32.3703,25.1984,0.683618,5.52927,-86.9723,594.516,-2087.17,4106.97,-4584.35,2717.11,-665.187,0.410385,-0.51827,-4.57748,11.9035,11.1269,-77.908,118.178,-78.7924,20.2034,0.130457,0.961897,-13.6713,60.47,-87.9903,-71.6896,349.113,-360.525,123.501,0.775707,-14.0892,124.21,-592.025,1640.63,-2721.23,2660.58,-1412.99,314.171
1.90348,0.00055828,4.11099e-05,5.4517e-05,3.25917e-06,0.575931,2.12238,1.84302,7.53778,0.188893,0.0139094,0.0184457,0.00110273,8,"1.87036;1.87044;1.87094;1.87119;1.87124;1.87487;1.87517;1.8755","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.319008,3.39167,-30.9812,98.4663,-31.315,-466.22,1044.36,-899.578,282.26,0.955421,-9.10819,67.3584,-262.015,542.538,-562.377,198.316,87.2114,-62.5398,0.385907,1.26233,-12.6171,53.2097,-81.5891,-49.9156,293.989,-313.212,108.99,0.612787,-7.3946,109.933,-723.204,2522.32,-4987.41,5606.39,-3335.81,815.167,0.626747,-4.3131,73.3415,-464.484,1467.45,-2522.88,2385.88,-1152.19,217.395,0.317485,0.405332,-17.5959,133.117,-525.668,1150.3,-1393,873.371,-221.23,0.128144,0.391165,-8.04189,28.5965,19.9442,-277.708,563.98,-475.646,148.708,0.494697,-10.8378,107.03,-554.675,1649.05,-2908.26,3002.5,-1674.44,389.175
3,0.000374137,0.000131181,0.000164958,1.08145e-05,0.703528,1.18812,1.05952,4.13803,0.138752,0.0486498,0.0611763,0.00401066,8,"2.96688;2.96695;2.96746;2.96771;2.96776;2.97139;2.97168;2.97202","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.247663,0.47003,1.73741,-96.2827,583.416,-1513.74,1990.98,-1308.19,341.709,0.542919,-9.13673,92.0038,-482.841,1433.5,-2501.11,2543.14,-1394.78,318.912,0.523029,-6.71507,97.1988,-610.81,1991.35,-3620.32,3700.88,-1988.34,436.579,0.248085,3.83543,-54.189,356.805,-1235.86,2412.56,-2672.19,1566.73,-377.485,0.401068,1.42756,-16.9548,144.031,-641.596,1540.23,-2013.51,1351.01,-364.305,0.370126,-4.85859,59.4765,-366.945,1190.48,-2179.17,2274.69,-1265.31,291.297,0.0523626,1.97909,-25.2999,127.207,-303.142,348.848,-149.05,-34.2561,33.8158,0.277342,-7.04214,80.6147,-468.5,1529.73,-2921.73,3234.22,-1919.47,472.03
