True coincidence factor calculation results.

Decay branch(es):
 Eu-152   EC  Sm-152 (13.5077 y) - 72.08%
Eu-152   B-  Gd-152 (13.5077 y) - 27.92%

Date: 04/09/2023
Time: 20:17:46

Calculation settings:
cp.xrays = true
cp.annihilation = true
cp.angular = true
cp.angle_optimize = false
cp.calc_full_eff = false
cp.calc_spectrum = true
cp.calc_coincidence = true
cp.calc_scattered = true
cp.calc_effc = false
cp.calc_electron_ttb = true

DetectorType = COAXIAL
DC_CrystalDiameter = 5.51 cm
DC_CrystalHeight = 3.3 cm
DC_CrystalHoleDiameter = 1.02 cm
DC_CrystalHoleHeight = 1.99 cm
DC_CrystalFrontDeadLayer = 0.1 cm
DC_CrystalSideDeadLayer = 0.07 cm
DC_CrystalBackDeadLayer = 0.07 cm
DC_CrystalHoleBottomDeadLayer = 0.0003 cm
DC_CrystalHoleSideDeadLayer = 0.0003 cm
DC_CrystalSideCladdingThickness = 0.08 cm
DC_CapToCrystalDistance = 0.3 cm
DC_DetectorCapDiameter = 7 cm
DC_DetectorCapFrontThickness = 0.103 cm
DC_DetectorCapSideThickness = 0.1 cm
DC_DetectorCapBackThickness = 0.1 cm
DC_DetectorMountingThickness = 3 cm
DC_CrystalCurvatureRadius = 0 cm

DC_nCrystalElements = 1
DC_ZCrystal[0] = 32
DC_FractionTypeCrystal = MASS
DC_FractionsCrystal[0] = 1
DC_RoCrystal = 5.323
DC_nCrystalSideCladdingElements = 1
DC_ZCrystalSideCladding[0] = 13
DC_FractionTypeCrystalSideCladding = MASS
DC_FractionsCrystalSideCladding[0] = 1
DC_RoCrystalSideCladding = 2.7
DC_nCrystalMountingElements = 1
DC_ZCrystalMounting[0] = 13
DC_FractionTypeCrystalMounting = MASS
DC_FractionsCrystalMounting[0] = 1
DC_RoCrystalMounting = 2.7
DC_nDetectorCapElements = 1
DC_ZDetectorCap[0] = 13
DC_FractionTypeDetectorCap = MASS
DC_FractionsDetectorCap[0] = 1
DC_RoDetectorCap = 2.7
DC_nVacuum = 1
DC_ZVacuum[0] = 13
DC_FractionTypeVacuum = MASS
DC_FractionsVacuum[0] = 1
DC_RoVacuum = 1e-10

SourceType = POINT
pdistance = 1 cm
prho = 0 cm


Number of simulated decays: 1000000

Results:
-----------------------------------------------------------------------------------
##	E, MeV	I	dI(%)	CF	dCF(%)	Eff	dEff(%)	Areas	AreasCoi
-----------------------------------------------------------------------------------
1	0.039097	5.4244e-05	3.0000	0.00000	0.00	0.000e+00	0.00	0.00	0.00
2	0.039522	2.1376e-01	3.0000	1.17043	5.92	2.907e-03	4.01	621.50	531.00
3	0.040118	3.8734e-01	3.0000	1.15814	3.97	3.536e-03	2.70	1369.50	1182.50
4	0.041864	7.5780e-07	3.0000	0.00000	0.00	0.000e+00	0.00	0.00	1.00
5	0.042309	2.4737e-03	3.0000	1.36842	44.65	5.255e-03	29.29	13.00	9.50
6	0.042996	4.4582e-03	3.0000	0.80769	24.32	7.066e-03	18.03	31.50	39.00
7	0.045294	3.7850e-02	3.0000	1.27586	7.16	1.173e-02	4.75	444.00	348.00
8	0.045414	7.3290e-02	3.0000	1.25559	5.01	1.227e-02	3.34	899.00	716.00
9	0.045741	1.0849e-03	3.0000	2.66667	44.35	1.844e-02	22.36	20.00	7.50
10	0.046578	2.4189e-02	3.0000	1.15980	7.85	1.455e-02	5.33	352.00	303.50
11	0.046705	9.1612e-03	3.0000	1.21698	13.16	1.408e-02	8.80	129.00	106.00
12	0.048551	4.4213e-04	3.0000	0.79167	44.37	2.149e-02	33.70	9.50	12.00
13	0.048695	8.5564e-04	3.0000	1.14815	38.19	1.812e-02	26.01	15.50	13.50
14	0.049038	1.3476e-05	3.0000	0.00000	0.00	0.000e+00	0.00	0.00	0.50
15	0.049959	2.8614e-04	3.0000	1.18182	61.50	2.272e-02	41.42	6.50	5.50
16	0.050099	1.1076e-04	3.0000	0.11111	229.33	4.514e-03	223.61	0.50	4.50
17	0.118970	5.3181e-06	20.0036	1.00000	141.42	1.880e-01	100.00	1.00	1.00
18	0.121782	2.8531e-01	0.5320	1.14894	0.70	1.518e-01	0.48	43300.00	37687.00
19	0.125680	5.1319e-05	3.6467	1.16667	61.79	1.364e-01	41.65	7.00	6.00
20	0.137560	7.4453e-06	17.8612	0.00000	0.00	0.000e+00	0.00	0.00	1.00
21	0.148000	2.0475e-04	5.2086	1.45000	29.70	1.416e-01	18.57	29.00	20.00
22	0.150130	9.0407e-06	8.8317	1.00000	100.00	2.212e-01	70.71	2.00	2.00
23	0.172100	4.2546e-06	50.0000	4.00000	234.52	4.701e-01	70.71	2.00	0.50
24	0.174800	1.3827e-05	13.4615	0.00000	0.00	0.000e+00	0.00	0.00	0.00
25	0.192600	6.8073e-05	3.1250	0.53333	62.98	5.876e-02	50.00	4.00	7.50
26	0.195220	2.0475e-05	9.0909	4.00000	122.47	9.768e-02	70.71	2.00	0.00
27	0.207030	1.1434e-05	20.9337	0.00000	0.00	0.000e+00	0.00	0.00	1.00
28	0.207640	7.3389e-05	3.6430	2.20000	55.07	1.499e-01	32.14	11.00	5.00
29	0.209300	1.7018e-06	6.2500	0.00000	0.00	0.000e+00	0.00	0.00	1.00
30	0.209410	1.1966e-05	33.3333	0.00000	0.00	0.000e+00	0.00	0.00	0.00
31	0.209970	4.3076e-05	16.0539	1.11111	67.77	1.161e-01	44.72	5.00	4.50
32	0.210950	3.8024e-05	4.2129	0.80000	55.98	1.578e-01	40.82	6.00	7.50
33	0.212430	2.0740e-04	2.5920	1.43333	33.88	1.037e-01	21.94	21.50	15.00
34	0.237100	6.3285e-05	2.9656	1.71429	71.67	9.481e-02	40.82	6.00	3.50
35	0.239330	5.3181e-05	0.3795	3.00000	112.22	8.462e-02	50.92	4.50	1.50
36	0.241000	3.7226e-06	0.3795	1.00000	122.47	2.686e-01	100.00	1.00	0.00
37	0.244697	7.5490e-02	0.5178	1.23233	1.79	9.191e-02	1.20	6938.00	5630.00
38	0.251633	6.7008e-04	2.8036	1.42697	19.69	9.477e-02	12.62	63.50	44.50
39	0.269840	7.8441e-05	6.4518	1.27273	59.12	8.924e-02	37.80	7.00	5.50
40	0.271080	7.1530e-04	2.6022	1.53030	22.45	7.060e-02	14.18	50.50	33.00
41	0.272410	6.3817e-06	25.0029	0.33333	115.47	1.567e-01	100.00	1.00	3.00
42	0.275420	3.4567e-04	2.3387	0.94000	28.97	6.798e-02	20.96	23.50	25.00
43	0.285980	9.8384e-05	16.2207	1.27273	59.12	7.115e-02	37.80	7.00	5.50
44	0.286500	1.3827e-05	21.1573	0.50000	244.95	3.616e-02	223.61	0.50	1.00
45	0.287100	8.1103e-06	8.5246	0.00000	0.00	0.000e+00	0.00	0.00	0.00
46	0.295939	4.4034e-03	0.9821	1.35625	8.51	7.392e-02	5.55	325.50	240.00
47	0.315100	3.9887e-04	2.6667	3.11111	38.32	7.020e-02	18.90	28.00	9.00
48	0.316130	1.0051e-04	5.0408	1.36842	43.65	1.293e-01	27.74	13.00	9.50
49	0.320100	2.0475e-05	5.2086	3.00000	115.47	1.465e-01	57.74	3.00	1.00
50	0.324830	6.8073e-04	2.7344	1.10526	22.62	6.170e-02	15.43	42.00	38.00
51	0.324914	4.9725e-05	4.8128	1.33333	122.47	4.022e-02	70.71	2.00	1.50
52	0.328764	3.4568e-05	6.1538	0.00000	0.00	0.000e+00	0.00	0.00	2.00
53	0.329410	1.2125e-03	2.0098	1.17532	15.53	7.464e-02	10.56	90.50	77.00
54	0.330580	9.3066e-05	11.4349	0.83333	65.32	5.373e-02	50.99	5.00	6.00
55	0.340460	2.6590e-04	3.0239	1.25000	33.54	7.522e-02	22.36	20.00	16.00
56	0.344278	2.6591e-01	0.6000	1.09285	1.12	6.279e-02	0.77	16695.50	15277.00
57	0.345540	9.8118e-05	4.8928	2.66667	67.70	8.153e-02	35.36	8.00	3.00
58	0.348752	1.7018e-05	9.3827	3.00000	244.95	8.814e-02	100.00	1.50	0.50
59	0.351660	1.0636e-04	7.5000	1.50000	87.14	4.231e-02	50.92	4.50	3.00
60	0.354160	9.5728e-06	11.1111	0.00000	0.00	0.000e+00	0.00	0.00	0.00
61	0.357260	6.0892e-05	6.9972	1.00000	81.65	4.927e-02	57.74	3.00	3.00
62	0.358480	1.6486e-05	8.0734	0.00000	0.00	0.000e+00	0.00	0.00	0.50
63	0.367789	8.5942e-03	0.4641	1.33333	7.00	5.539e-02	4.58	476.00	357.00
64	0.378150	2.3665e-06	23.5986	0.00000	0.00	0.000e+00	0.00	0.00	0.00
65	0.385610	5.5574e-05	4.3229	3.66667	109.85	9.897e-02	45.45	5.50	1.50
66	0.387900	2.9250e-05	9.0909	1.00000	187.08	3.419e-02	158.11	1.00	1.00
67	0.391190	1.4093e-05	3.0426	1.50000	122.47	1.064e-01	100.00	1.50	0.00
68	0.397750	3.7226e-06	15.7189	0.00000	0.00	0.000e+00	0.00	0.00	1.00
69	0.401290	6.3817e-06	6.6775	0.00000	0.00	0.000e+00	0.00	0.00	0.00
70	0.411116	2.2371e-02	0.3090	1.27404	4.46	5.123e-02	2.95	1146.00	899.50
71	0.416020	1.0875e-03	1.7531	1.18557	19.64	5.287e-02	13.27	57.50	48.50
72	0.423450	2.9781e-05	7.1529	0.40000	123.29	3.358e-02	100.00	1.00	2.50
73	0.440860	6.2489e-05	6.8085	0.41667	82.87	4.001e-02	72.11	2.50	6.00
74	0.443961	2.8266e-02	0.4729	1.16891	4.08	4.603e-02	2.77	1301.00	1113.00
75	0.444010	2.9781e-03	3.5915	1.25854	13.26	4.332e-02	8.80	129.00	102.50
76	0.464280	4.5204e-06	41.1782	0.00000	0.00	0.000e+00	0.00	0.00	0.00
77	0.476420	1.7018e-05	18.7538	0.00000	0.00	1.469e-01	72.11	2.50	0.00
78	0.482330	2.4729e-04	3.2481	1.57143	48.35	4.448e-02	30.15	11.00	7.00
79	0.482400	2.3400e-05	4.5455	0.00000	0.00	0.000e+00	0.00	0.00	1.00
80	0.488679	4.1428e-03	0.7457	1.30882	11.39	4.297e-02	7.50	178.00	136.00
81	0.493540	3.0313e-04	4.4024	0.56667	44.12	2.804e-02	35.78	8.50	15.00
82	0.493780	9.7589e-05	4.3597	0.40000	83.67	2.049e-02	70.71	2.00	5.00
83	0.496400	5.8766e-05	4.0724	0.28571	116.06	1.702e-02	100.00	1.00	3.50
84	0.496560	5.8499e-05	36.3656	1.50000	64.55	1.026e-01	40.82	6.00	4.00
85	0.503467	1.5237e-03	1.2216	1.30833	17.18	5.152e-02	11.34	78.50	60.00
86	0.511000	5.1198e-04	3.0000	1.33333	31.18	4.688e-02	20.41	24.00	18.00
87	0.514780	4.2544e-06	18.7538	3.00000	115.47	7.051e-01	57.74	3.00	1.00
88	0.520240	5.3448e-04	2.9851	1.18750	33.93	3.555e-02	22.94	19.00	16.00
89	0.523130	1.5289e-04	4.1911	2.75000	65.93	7.195e-02	30.15	11.00	4.00
90	0.526880	1.1966e-04	6.6667	1.00000	91.29	2.507e-02	57.74	3.00	3.00
91	0.527100	1.8613e-06	0.3795	0.00000	0.00	0.000e+00	0.00	0.00	0.00
92	0.534250	4.0950e-04	2.5974	1.28000	38.38	3.907e-02	25.00	16.00	12.50
93	0.535440	1.7284e-05	7.7017	0.00000	0.00	5.786e-02	100.00	1.00	0.00
94	0.538290	4.3342e-05	6.7591	0.30000	109.54	3.461e-02	100.00	1.50	5.00
95	0.556480	1.7709e-04	3.4742	1.00000	53.45	3.953e-02	37.80	7.00	7.00
96	0.557800	2.9250e-05	11.8182	0.00000	0.00	0.000e+00	0.00	0.00	2.00
97	0.561260	1.4093e-05	16.9854	0.50000	244.95	3.548e-02	223.61	0.50	1.00
98	0.562980	2.0209e-04	9.2183	1.41667	37.70	8.412e-02	24.25	17.00	12.00
99	0.563100	3.0048e-06	7.0796	0.00000	0.00	3.328e-01	100.00	1.00	0.00
100	0.563986	4.9352e-03	0.9419	1.24085	10.50	4.123e-02	7.02	203.50	164.00
101	0.566438	1.3109e-03	2.4635	0.95349	21.83	3.128e-02	15.62	41.00	43.00
102	0.571830	4.4406e-05	3.6128	0.25000	234.52	1.126e-02	223.61	0.50	2.00
103	0.586265	4.5471e-03	0.7602	1.28800	11.92	3.541e-02	7.88	161.00	125.00
104	0.588600	2.3931e-05	44.4461	0.00000	0.00	0.000e+00	0.00	0.00	1.00
105	0.589830	1.3029e-05	6.1342	0.00000	0.00	7.675e-02	100.00	1.00	0.00
106	0.608060	2.6590e-06	30.0024	0.00000	0.00	0.000e+00	0.00	0.00	0.00
107	0.609230	1.2232e-05	13.0490	0.00000	0.00	0.000e+00	0.00	0.00	0.00
108	0.616050	9.1737e-05	5.8095	1.50000	141.42	1.635e-02	100.00	1.50	1.00
109	0.644390	6.5944e-05	7.2680	1.00000	100.00	3.033e-02	70.71	2.00	2.00
110	0.656489	1.4412e-03	1.5240	0.97674	21.69	2.914e-02	15.43	42.00	43.00
111	0.664770	9.9182e-05	5.1080	0.80000	67.08	4.033e-02	50.00	4.00	5.00
112	0.671155	2.4463e-04	17.3954	3.50000	56.69	5.723e-02	26.73	14.00	4.00
113	0.674640	1.6911e-03	1.9246	2.19231	24.13	3.370e-02	13.25	57.00	26.00
114	0.675000	2.1273e-04	3.7500	0.50000	69.99	1.645e-02	58.90	3.50	7.00
115	0.678623	4.7252e-03	0.6753	1.45408	13.14	3.016e-02	8.40	142.50	98.00
116	0.683250	4.7331e-05	5.6308	1.00000	117.26	4.226e-02	70.71	2.00	2.00
117	0.686600	2.0262e-04	3.3027	2.50000	123.29	1.234e-02	72.11	2.50	1.00
118	0.688670	8.5647e-03	0.7014	0.93305	9.31	2.604e-02	6.70	223.00	239.00
119	0.703010	3.8557e-05	7.5862	1.00000	100.00	5.187e-02	70.71	2.00	2.00
120	0.703550	2.6591e-05	10.0000	0.00000	0.00	7.521e-02	70.71	2.00	0.00
121	0.707160	1.4226e-05	3.9435	0.00000	0.00	1.406e-01	70.71	2.00	0.00
122	0.712830	9.5462e-04	2.5070	0.87719	27.57	2.619e-02	20.00	25.00	28.50
123	0.719346	2.4995e-03	3.2140	1.50000	19.03	2.761e-02	12.04	69.00	46.00
124	0.719360	9.4927e-04	3.3827	1.33333	29.45	2.950e-02	18.90	28.00	21.00
125	0.728040	1.1115e-04	3.3707	1.16667	82.48	3.149e-02	58.90	3.50	3.00
126	0.734140	9.0407e-06	14.7108	0.00000	0.00	0.000e+00	0.00	0.00	2.00
127	0.735430	4.4140e-05	4.2339	0.50000	122.47	2.266e-02	100.00	1.00	2.00
128	0.756160	4.4406e-05	9.5884	0.00000	0.00	0.000e+00	0.00	0.00	1.00
129	0.764880	1.8933e-03	2.2472	1.48485	22.52	2.588e-02	14.29	49.00	33.00
130	0.766380	6.9135e-06	11.5447	0.00000	0.00	1.446e-01	100.00	1.00	0.00
131	0.768960	8.1898e-04	5.2086	1.26190	29.40	3.236e-02	19.70	26.50	21.00
132	0.778904	1.2929e-01	0.4525	1.17028	2.59	2.504e-02	1.76	3237.00	2766.00
133	0.794780	2.6325e-04	6.0606	1.70000	57.27	3.229e-02	35.78	8.50	5.00
134	0.802000	4.1215e-06	11.6191	0.00000	0.00	0.000e+00	0.00	0.00	0.00
135	0.805710	1.5183e-04	3.8715	1.00000	81.65	1.976e-02	57.74	3.00	3.00
136	0.810451	3.1722e-03	0.9201	0.85417	15.04	2.585e-02	11.04	82.00	96.00
137	0.813210	4.3076e-05	9.8838	6.00000	115.47	6.964e-02	57.74	3.00	0.00
138	0.839360	1.7709e-04	2.8780	0.80000	101.00	1.129e-02	70.71	2.00	2.50
139	0.841574	1.6752e-03	1.7868	0.68182	23.68	1.791e-02	18.26	30.00	44.00
140	0.850100	7.7114e-06	10.3448	0.00000	0.00	0.000e+00	0.00	0.00	1.00
141	0.855210	1.9677e-05	6.7674	4.00000	122.47	1.016e-01	70.71	2.00	0.00
142	0.867380	4.2279e-02	0.6815	1.23464	4.86	2.234e-02	3.26	944.50	765.00
143	0.901190	8.5355e-04	2.8293	0.80952	32.63	1.992e-02	24.25	17.00	21.00
144	0.906060	9.1737e-05	4.3644	2.50000	123.29	2.725e-02	72.11	2.50	1.00
145	0.919337	4.1853e-03	1.0851	1.07059	15.08	2.174e-02	10.48	91.00	85.00
146	0.919740	6.4880e-05	5.7502	0.00000	0.00	1.541e-02	100.00	1.00	0.00
147	0.926310	2.7228e-03	1.2318	1.76923	20.03	2.534e-02	12.04	69.00	39.00
148	0.930590	7.2859e-04	2.5547	0.39286	35.58	1.510e-02	30.15	11.00	28.00
149	0.937050	2.6591e-05	30.0000	0.00000	0.00	0.000e+00	0.00	0.00	0.00
150	0.947150	1.0902e-05	17.0774	0.00000	0.00	0.000e+00	0.00	0.00	0.00
151	0.958630	1.9677e-04	5.4187	1.00000	63.25	2.541e-02	44.72	5.00	5.00
152	0.961080	7.9771e-05	26.6694	0.00000	0.00	1.254e-02	100.00	1.00	0.00
153	0.963367	1.4040e-03	4.3726	0.70588	26.66	1.709e-02	20.41	24.00	34.00
154	0.964057	1.4510e-01	0.4481	1.11119	2.60	2.156e-02	1.79	3128.00	2815.00
155	0.968650	7.9239e-05	2.7113	3.00000	115.47	3.786e-02	57.74	3.00	1.00
156	0.970220	1.1966e-05	26.6667	0.00000	0.00	0.000e+00	0.00	0.00	1.00
157	0.974090	1.3561e-04	5.8824	2.00000	122.47	1.475e-02	70.71	2.00	1.00
158	0.990180	3.1377e-04	4.2373	2.66667	111.80	1.275e-02	50.00	4.00	1.50
159	1.005270	6.5944e-03	1.6569	1.11607	13.01	1.896e-02	8.94	125.00	112.00
160	1.050100	7.1794e-06	40.7425	0.00000	0.00	0.000e+00	0.00	0.00	0.00
161	1.084380	1.0636e-04	7.5096	0.50000	122.47	9.402e-03	100.00	1.00	2.00
162	1.085837	1.0115e-01	0.4617	1.04526	3.44	1.792e-02	2.35	1813.00	1734.50
163	1.089737	1.7337e-02	0.4601	1.14607	8.40	1.765e-02	5.72	306.00	267.00
164	1.109180	1.8853e-03	3.3850	1.20690	25.11	1.856e-02	16.90	35.00	29.00
165	1.112076	1.3667e-01	0.5867	1.13525	2.97	1.793e-02	2.02	2451.00	2159.00
166	1.170970	3.7226e-04	4.3025	0.20000	63.25	8.059e-03	57.74	3.00	15.00
167	1.206090	1.3030e-04	10.2041	4.00000	111.80	3.070e-02	50.00	4.00	1.00
168	1.212948	1.4146e-02	0.5476	1.39884	9.96	1.711e-02	6.43	242.00	173.00
169	1.246340	9.3066e-06	14.2908	0.00000	0.00	5.373e-02	223.61	0.50	0.00
170	1.249940	1.8693e-03	1.3353	1.09677	24.83	1.819e-02	17.15	34.00	31.00
171	1.261350	3.3505e-04	3.9683	1.75000	62.68	2.089e-02	37.80	7.00	4.00
