True coincidence factor calculation results.

Decay branch(es):
 Eu-152   EC  Sm-152 (13.5077 y) - 72.08%
Eu-152   B-  Gd-152 (13.5077 y) - 27.92%

Date: 28/02/2024
Time: 18:55:00

Calculation settings:
cp.xrays = true
cp.annihilation = true
cp.angular = true
cp.angle_optimize = false
cp.calc_full_eff = false
cp.calc_spectrum = true
cp.calc_coincidence = true
cp.calc_scattered = true
cp.calc_effc = false
cp.calc_electron_ttb = true
cp.threads_number = -1

DetectorType = SCINTILLATOR
DS_CrystalDiameter = 4 cm
DS_CrystalHeight = 4 cm
DS_CrystalFrontReflectorThickness = 0.1 cm
DS_CrystalSideReflectorThickness = 0.1 cm
DS_CrystalFrontCladdingThickness = 0.1 cm
DS_CrystalSideCladdingThickness = 0.1 cm
DS_DetectorFrontPackagingThickness = 0.2 cm
DS_DetectorSidePackagingThickness = 0.5 cm
DS_DetectorFrontCapThickness = 0.1 cm
DS_DetectorSideCapThickness = 0.1 cm
DS_DetectorMountingThickness = 3 cm

DS_nCrystalElements = 2
DS_ZCrystal[0] = 11
DS_ZCrystal[1] = 53
DS_FractionTypeCrystal = MASS
DS_FractionsCrystal[0] = 0.153373
DS_FractionsCrystal[1] = 0.846627
DS_RoCrystal = 3.667
DS_nCrystalCladdingElements = 1
DS_ZCrystalCladding[0] = 13
DS_FractionTypeCrystalCladding = MASS
DS_FractionsCrystalCladding[0] = 1
DS_RoCrystalCladding = 2.7
DS_nCrystalReflectorElements = 2
DS_ZCrystalReflector[0] = 8
DS_ZCrystalReflector[1] = 12
DS_FractionTypeReflector = MASS
DS_FractionsCrystalReflector[0] = 0.396964
DS_FractionsCrystalReflector[1] = 0.603036
DS_RoCrystalReflector = 3.58
DS_nDetectorCapElements = 2
DS_ZDetectorCap[0] = 1
DS_ZDetectorCap[1] = 6
DS_FractionTypeDetectorCap = MASS
DS_FractionsDetectorCap[0] = 0.078
DS_FractionsDetectorCap[1] = 0.922
DS_RoDetectorCap = 0.04
DS_nDetectorPackagingElements = 1
DS_ZDetectorPackaging[0] = 13
DS_FractionTypeDetectorPackaging = MASS
DS_FractionsDetectorPackaging[0] = 1
DS_RoDetectorPackaging = 2.7

SourceType = POINT
pdistance = 1 cm
prho = 0 cm


Number of simulated decays: 1000000

Results:
-----------------------------------------------------------------------------------
##	E, MeV	I	dI(%)	CF	dCF(%)	Eff	dEff(%)	Areas	AreasCoi
-----------------------------------------------------------------------------------
1	0.039097	5.4244e-05	3.0000	0.75000	222.67	2.765e-02	208.17	1.50	0.00
2	0.039522	2.1376e-01	3.0000	1.19370	1.08	8.806e-02	0.73	18824.00	15769.50
3	0.040118	3.8734e-01	3.0000	1.20629	0.79	9.056e-02	0.53	35079.00	29080.00
4	0.041864	7.5780e-07	3.0000	0.50000	244.95	6.598e-01	223.61	0.50	1.00
5	0.042309	2.4737e-03	3.0000	0.99145	9.28	9.379e-02	6.57	232.00	234.00
6	0.042996	4.4582e-03	3.0000	0.98982	6.75	9.813e-02	4.79	437.50	442.00
7	0.045294	3.7850e-02	3.0000	1.20514	2.37	1.041e-01	1.59	3939.00	3268.50
8	0.045414	7.3290e-02	3.0000	1.22033	1.71	1.038e-01	1.15	7604.50	6231.50
9	0.045741	1.0849e-03	3.0000	1.19553	14.36	9.863e-02	9.67	107.00	89.50
10	0.046578	2.4189e-02	3.0000	1.22625	2.93	1.070e-01	1.97	2588.00	2110.50
11	0.046705	9.1612e-03	3.0000	1.20094	4.64	1.116e-01	3.13	1022.00	851.00
12	0.048551	4.4213e-04	3.0000	0.77228	21.62	8.821e-02	16.32	39.00	50.50
13	0.048695	8.5564e-04	3.0000	1.01087	14.70	1.087e-01	10.37	93.00	92.00
14	0.049038	1.3476e-05	3.0000	1.28571	77.86	3.339e-01	50.92	4.50	3.50
15	0.049959	2.8614e-04	3.0000	1.23529	23.35	1.468e-01	15.43	42.00	34.00
16	0.050099	1.1076e-04	3.0000	1.18182	40.97	1.174e-01	27.74	13.00	11.00
17	0.118970	5.3181e-06	20.0036	0.00000	0.00	0.000e+00	0.00	0.00	0.50
18	0.121782	2.8531e-01	0.5320	1.21040	0.73	1.437e-01	0.49	41006.00	33878.00
19	0.125680	5.1319e-05	3.6467	1.33333	54.01	1.559e-01	35.36	8.00	6.00
20	0.137560	7.4453e-06	17.8612	0.00000	0.00	0.000e+00	0.00	0.00	0.50
21	0.148000	2.0475e-04	5.2086	1.02128	29.25	1.172e-01	20.41	24.00	23.50
22	0.150130	9.0407e-06	8.8317	0.50000	244.95	5.531e-02	223.61	0.50	1.00
23	0.172100	4.2546e-06	50.0000	0.00000	0.00	0.000e+00	0.00	0.00	0.00
24	0.174800	1.3827e-05	13.4615	1.00000	316.23	3.616e-02	223.61	0.50	0.50
25	0.192600	6.8073e-05	3.1250	1.11111	45.95	1.469e-01	31.62	10.00	9.00
